"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"161","Surface Fire","15070_44",0.4785216,"Ozark-Ouachita Shortleaf Pine-Bluestem Woodland",1,0.439215686,696173,25.5,333133.8178368
"162","Wind or Weather or Stress","13040_32_43_44_49",0.0037106,"Ozark-Ouachita Dry-Mesic Oak Forest",2,0,666401,24.4,2472.7475506
"163","Wind or Weather or Stress","13120_44",0.0035162,"Ouachita Montane Oak Forest",15,0.450980392,5316,0.2,18.6921192
"164","Wind or Weather or Stress","13230_32_36_37_44_45_98",0.001834,"West Gulf Coastal Plain Mesic Hardwood Forest",18,0.560784314,2540,0.1,4.65836
"165","Wind or Weather or Stress","13340_32_43_44",0.002764,"Ozark-Ouachita Mesic Hardwood Forest",5,0.290196078,118017,4.3,326.198988
"166","Wind or Weather or Stress","13640_32_44_49",0.0035036,"Ozark-Ouachita Dry Oak Woodland",4,0,392700,14.4,1375.86372
"167","Wind or Weather or Stress","13670_32_44",0.0034828,"Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland",3,0.392156863,522660,19.1,1820.320248
"168","Wind or Weather or Stress","13710_44",0.0006282,"West Gulf Coastal Plain Pine-Hardwood Forest",6,0,92264,3.4,57.9602448
"169","Wind or Weather or Stress","13780_37_44",0.0091132,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland",12,0,11377,0.4,103.6808764
"170","Wind or Weather or Stress","14152_44",0.0040056,"Arkansas Valley Prairie and Woodland - Woodland",11,0.701960784,12714,0.5,50.9271984
"171","Wind or Weather or Stress","14280_37_44",0.0049748,"West Gulf Coastal Plain Northern Calcareous Prairie",14,0.431372549,9165,0.3,45.594042
"172","Wind or Weather or Stress","14580_37_44_45_98",0.0049554,"West Gulf Coastal Plain Pine-Hardwood Flatwoods",19,0.380392157,3055,0.1,15.138747
"173","Wind or Weather or Stress","14712_44",0.0027124,"Central Interior and Appalachian Floodplain Systems - Large Floodplains",8,0.219607843,62647,2.3,169.9237228
"174","Wind or Weather or Stress","14730_32_37_44",0.0052112,"Gulf and Atlantic Coastal Plain Floodplain Systems",9,0.803921569,36019,1.3,187.7022128
"175","Wind or Weather or Stress","14740_32_37_44_45_98",0.002447,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems",10,0.921568627,17600,0.6,43.0672
"176","Wind or Weather or Stress","14800_36_37_44",0.0037748,"Gulf and Atlantic Coastal Plain Swamp Systems",16,0.701960784,5365,0.2,20.251802
"177","Wind or Weather or Stress","14930_41_42_44_50",0.3289922,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",21,0.078431373,182,0,59.8765804
"178","Wind or Weather or Stress","15060_37_44",0.0035634,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods",17,0,4431,0.2,15.7894254
"179","Wind or Weather or Stress","15070_44",0.0024518,"Ozark-Ouachita Shortleaf Pine-Bluestem Woodland",1,0.439215686,696173,25.5,1706.8769614
